task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
89	08/8d6bc5	705723	split_samples (89)	COMPLETED	0	2018-08-27 18:08:07.828	17h 10m 29s	22m 38s	307.0%	7.2 GB	27.1 GB	24.1 GB	27.6 GB
129	25/bc112c	705732	split_samples (129)	COMPLETED	0	2018-08-27 18:09:47.453	17h 8m 49s	19m	461.1%	7.3 GB	27.1 GB	25.5 GB	29.2 GB
140	ac/8b40f1	705737	split_samples (140)	COMPLETED	0	2018-08-27 18:11:12.460	17h 7m 24s	17m 53s	656.0%	7.1 GB	27.1 GB	24.3 GB	27.7 GB
136	86/a034b2	705758	split_samples (136)	COMPLETED	0	2018-08-27 18:14:22.485	17h 4m 14s	19m 52s	563.8%	7.5 GB	27.1 GB	27.7 GB	31.8 GB
139	7d/ae1813	705767	split_samples (139)	COMPLETED	0	2018-08-27 18:15:27.872	17h 3m 9s	22m 57s	340.1%	7.1 GB	27.1 GB	29.5 GB	33.9 GB
134	7c/34746f	705773	split_samples (134)	COMPLETED	0	2018-08-27 18:16:38.354	17h 1m 58s	14m 41s	1494.6%	7.7 GB	27.1 GB	16.3 GB	18.6 GB
103	85/e0af30	705777	split_samples (103)	COMPLETED	0	2018-08-27 18:17:37.501	17h 59s	18m 19s	722.1%	7.4 GB	27.1 GB	24.6 GB	28.3 GB
137	83/d4f784	705778	split_samples (137)	COMPLETED	0	2018-08-27 18:17:57.537	17h 39s	21m	27418.5%	7.2 GB	27.1 GB	23.4 GB	26.8 GB
128	04/fe01c2	705782	split_samples (128)	COMPLETED	0	2018-08-27 18:18:19.444	17h 18s	18m 14s	1053.0%	7.6 GB	27.1 GB	23.7 GB	27.1 GB
121	67/1cf324	705783	split_samples (121)	COMPLETED	0	2018-08-27 18:18:19.675	17h 19s	25m 17s	320.4%	7.1 GB	27.1 GB	28.4 GB	32.4 GB
133	cd/1ebd99	705794	split_samples (133)	COMPLETED	0	2018-08-27 18:20:02.553	16h 58m 36s	20m 50s	345.9%	7.1 GB	27.1 GB	23.4 GB	26.9 GB
142	32/cc94cc	705796	split_samples (142)	COMPLETED	0	2018-08-27 18:20:12.546	16h 58m 26s	20m 51s	829.2%	7.1 GB	27.1 GB	23 GB	26.4 GB
148	d5/90ce64	705802	split_samples (148)	COMPLETED	0	2018-08-27 18:21:03.167	16h 57m 35s	19m 36s	366.9%	7.1 GB	27.1 GB	23.4 GB	26.9 GB
146	7b/bd4ce6	705805	split_samples (146)	COMPLETED	0	2018-08-27 18:21:17.947	16h 57m 21s	18m 5s	1760.0%	7.6 GB	27.1 GB	26.1 GB	30 GB
144	9c/da2232	705809	split_samples (144)	COMPLETED	0	2018-08-27 18:22:22.658	16h 56m 16s	20m 38s	546.8%	7.1 GB	27.1 GB	26.4 GB	30.4 GB
153	aa/a5efbf	705810	split_samples (153)	COMPLETED	0	2018-08-27 18:22:27.559	16h 56m 11s	23m 25s	723.9%	7.5 GB	27.1 GB	28.6 GB	32.9 GB
