task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
75	7e/d9c89f	705507	split_samples (75)	COMPLETED	0	2018-08-27 17:37:31.692	45m 46s	7m 17s	675.3%	7.1 GB	27.1 GB	9.4 GB	10.8 GB
48	80/134f1a	705488	split_samples (48)	COMPLETED	0	2018-08-27 17:37:29.522	45m 53s	16m 53s	1185.0%	7.2 GB	27.1 GB	20.8 GB	23.9 GB
69	e5/2a769c	705490	split_samples (69)	COMPLETED	0	2018-08-27 17:37:29.747	46m 28s	16m 50s	345.9%	7.1 GB	27.1 GB	17.1 GB	19.8 GB
42	76/6c2b11	705487	split_samples (42)	COMPLETED	0	2018-08-27 17:37:29.396	46m 58s	17m 58s	1145.9%	7.3 GB	27.1 GB	23.1 GB	26.4 GB
24	c7/325a97	705482	split_samples (24)	COMPLETED	0	2018-08-27 17:37:26.347	47m 6s	19m 22s	302.5%	7.4 GB	27.1 GB	20.9 GB	24 GB
64	1d/8336b5	705473	split_samples (64)	COMPLETED	0	2018-08-27 17:37:25.246	47m 42s	21m 23s	379.3%	7.2 GB	27.1 GB	22.4 GB	25.9 GB
51	3e/7605fb	705489	split_samples (51)	COMPLETED	0	2018-08-27 17:37:29.629	50m 28s	20m 52s	274.4%	7.5 GB	27.1 GB	21.6 GB	25 GB
35	0c/bf97c7	705485	split_samples (35)	COMPLETED	0	2018-08-27 17:37:26.715	50m 41s	22m 29s	595.9%	7.1 GB	27.1 GB	27.4 GB	31.5 GB
26	23/fe404e	705478	split_samples (26)	COMPLETED	0	2018-08-27 17:37:25.840	50m 47s	23m 37s	415.2%	7.5 GB	27.1 GB	25.2 GB	28.9 GB
59	3f/d3b4a2	705491	split_samples (59)	COMPLETED	0	2018-08-27 17:37:29.854	51m 8s	21m 38s	832.9%	7.3 GB	27.1 GB	26.1 GB	30.1 GB
27	38/6b7454	705481	split_samples (27)	COMPLETED	0	2018-08-27 17:37:26.236	52m 46s	25m 34s	408.3%	7.1 GB	27.1 GB	26.8 GB	30.8 GB
65	dd/256571	705492	split_samples (65)	COMPLETED	0	2018-08-27 17:37:30.040	53m 58s	23m 27s	325.1%	7.1 GB	27.1 GB	25.2 GB	29.1 GB
56	c2/97fd85	705503	split_samples (56)	COMPLETED	0	2018-08-27 17:37:31.257	54m 51s	9m 25s	657.1%	7.2 GB	27.1 GB	12 GB	13.8 GB
31	79/88d0c9	705509	split_samples (31)	COMPLETED	0	2018-08-27 17:37:32.330	55m 20s	15m 56s	1387.9%	7.3 GB	27.1 GB	23.8 GB	27.3 GB
73	20/d00977	705495	split_samples (73)	COMPLETED	0	2018-08-27 17:37:30.369	55m 57s	21m 28s	561.6%	7.1 GB	27.1 GB	26.1 GB	30.2 GB
130	6a/31ce6f	705693	split_samples (130)	COMPLETED	0	2018-08-27 18:03:54.870	29m 58s	28m 40s	528.5%	7.1 GB	27.1 GB	30.8 GB	35.4 GB
74	df/dc843c	705511	split_samples (74)	COMPLETED	0	2018-08-27 17:37:32.547	57m 15s	16m	605.1%	7.3 GB	27.1 GB	21.6 GB	25 GB
71	92/b8b6bb	705510	split_samples (71)	COMPLETED	0	2018-08-27 17:37:32.440	57m 31s	14m 30s	867.5%	7.2 GB	27.1 GB	19.9 GB	23 GB
68	d1/056303	705497	split_samples (68)	COMPLETED	0	2018-08-27 17:37:30.589	57m 37s	20m 11s	472.5%	7.5 GB	27.1 GB	27.5 GB	31.8 GB
44	82/6b63ee	705498	split_samples (44)	COMPLETED	0	2018-08-27 17:37:30.701	1h 32s	19m 24s	1136.0%	7.2 GB	27.1 GB	25.6 GB	29.4 GB
98	e9/71d931	705525	split_samples (98)	COMPLETED	0	2018-08-27 17:37:37.784	1h 2m 5s	16m 10s	1819.9%	7.3 GB	27.1 GB	23.6 GB	27 GB
28	6c/90ebc4	705501	split_samples (28)	COMPLETED	0	2018-08-27 17:37:31.027	1h 2m 38s	19m 3s	788.3%	7.2 GB	27.1 GB	24 GB	27.6 GB
67	bf/2cde65	705512	split_samples (67)	COMPLETED	0	2018-08-27 17:37:32.660	1h 2m 37s	15m 58s	626.9%	7.3 GB	27.1 GB	19.4 GB	22.4 GB
72	0a/8a5658	705499	split_samples (72)	COMPLETED	0	2018-08-27 17:37:30.810	1h 2m 47s	21m 7s	920.2%	7.4 GB	27.1 GB	22.3 GB	25.8 GB
80	30/99098e	705514	split_samples (80)	COMPLETED	0	2018-08-27 17:37:32.883	1h 2m 45s	16m 15s	857.8%	7 GB	27.1 GB	19.9 GB	23 GB
70	fc/04931d	705500	split_samples (70)	COMPLETED	0	2018-08-27 17:37:30.917	1h 2m 57s	21m 24s	913.9%	7.8 GB	27.1 GB	26.6 GB	30.7 GB
40	6c/5672d8	705502	split_samples (40)	COMPLETED	0	2018-08-27 17:37:31.142	1h 3m 42s	19m 9s	1386.6%	7.2 GB	27.1 GB	24.2 GB	27.8 GB
41	b3/8103b7	705508	split_samples (41)	COMPLETED	0	2018-08-27 17:37:32.221	1h 3m 51s	19m 52s	435.9%	7.2 GB	27.1 GB	27.7 GB	31.8 GB
81	8c/dae721	705515	split_samples (81)	COMPLETED	0	2018-08-27 17:37:32.989	1h 4m 35s	17m 38s	537.6%	7 GB	27.1 GB	20.8 GB	24 GB
78	42/7cb9ac	705513	split_samples (78)	COMPLETED	0	2018-08-27 17:37:32.773	1h 4m 55s	18m 26s	364.6%	7.1 GB	27.1 GB	21.9 GB	25.3 GB
92	2f/8bdb24	705527	split_samples (92)	FAILED	3	2018-08-27 17:37:38.001	1h 5m	9m 8s	637.8%	7.1 GB	27.1 GB	5.8 GB	8.3 GB
84	77/894776	705528	split_samples (84)	COMPLETED	0	2018-08-27 17:37:38.107	17h 40m 55s	14m 10s	508.3%	7.1 GB	27.1 GB	19.2 GB	22.2 GB
109	18/d577e0	705529	split_samples (109)	COMPLETED	0	2018-08-27 17:37:38.215	17h 40m 55s	16m 35s	779.1%	7.6 GB	27.1 GB	24.6 GB	28.2 GB
114	42/c387c2	705530	split_samples (114)	COMPLETED	0	2018-08-27 17:37:38.416	17h 40m 55s	22m 54s	456.6%	7.1 GB	27.1 GB	25.5 GB	29.3 GB
