id	label	spec	geo	date	coord_N	coord_W
16_21-30	16_21-30nigpan	nig	pan	2016	NA	NA
16_31-40	16_31-40unipan	uni	pan	2016	NA	NA
17996	17996indbel	ind	bel	2004-07-27	16.8008333333333	-88.0788888888889
17997	17997indbel	ind	bel	2004-07-27	16.8008333333333	-88.0788888888889
17998	17998indbel	ind	bel	2004-07-27	16.8008333333333	-88.0788888888889
17999	17999indbel	ind	bel	2004-07-27	16.8008333333333	-88.0788888888889
18000	18000indbel	ind	bel	2004-07-27	16.8008333333333	-88.0788888888889
18151	18151nigbel	nig	bel	2004-07-25	16.7652777777778	-88.1441666666667
18152	18152puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18153	18153nigbel	nig	bel	2004-07-25	16.7652777777778	-88.1441666666667
18154	18154puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18155	18155nigbel	nig	bel	2004-07-25	16.8008333333333	-88.0788888888889
18156	18156nigbel	nig	bel	2004-07-25	16.8008333333333	-88.0788888888889
18157	18157nigbel	nig	bel	2004-07-25	16.8008333333333	-88.0788888888889
18158	18158nigbel	nig	bel	2004-07-25	16.8008333333333	-88.0788888888889
18159	18159nigbel	nig	bel	2004-07-25	16.8008333333333	-88.0788888888889
18161	18161puebel	pue	bel	2004-07-26	16.8058333333333	-88.0791666666667
18162	18162nigbel	nig	bel	2004-07-25	16.7652777777778	-88.1441666666667
18163	18163unibel	uni	bel	2004-07-25	16.7652777777778	-88.1441666666667
18165	18165nigbel	nig	bel	2004-07-25	16.7652777777778	-88.1441666666667
18166	18166puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18169	18169puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18171	18171nigbel	nig	bel	2004-07-25	16.7652777777778	-88.1441666666667
18172	18172puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18174	18174puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18175	18175puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18176	18176puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18178	18178puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18179	18179puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
18180	18180puebel	pue	bel	2004-07-25	16.7652777777778	-88.1441666666667
